,tri_curr_avg,tri_curr_eop,tri_tot_empl,tri_unemp_rate,tri_ngdp,tri_rgdp,tri_nimp,tri_rimp,tri_nexp,tri_rexp,tri_cpi_avg,tri_cpi_eop,tri_value_imp,tri_vol_imp,tri_value_exp,tri_vol_exp,
,"National currency units per U.S. dollar, period average (Units)","National currency units per U.S. dollar, end of period (Units)",Total employment (Millions),Unemployment rate (Units),"Gross domestic product, current prices (Billions)","Gross domestic product, constant prices  (Billions)","Imports of goods and services, current prices  (Billions)","Imports of goods and services, constant prices  (Billions)","Exports of goods and services, current prices  (Billions)","Exports of goods and services, constant prices  (Billions)","Consumer Prices, period average  (Units)","Consumer Prices, end of period  (Units)",Value of total imports of goods and services  (Billions),Volume of total imports of goods and services  (Billions),Value of total exports of goods and services  (Billions),Volume of total exports of goods and services  (Billions),
1980,2.400,,,,14.966,42.139,5.845,22.977,7.536,11.147,21.200,,2.434,3.466,3.139,3.985,
1981,2.400,,0.387,10.408,16.781,44.077,5.950,20.697,7.548,9.832,24.238,,2.478,3.504,3.143,3.301,
1982,2.400,,0.398,10.271,19.537,45.756,8.090,24.169,6.697,9.455,27.058,,3.369,4.092,2.789,3.175,
1983,2.400,,0.400,11.123,18.633,41.037,7.517,23.880,5.632,9.037,31.164,,3.131,4.043,2.346,3.034,
1984,2.400,,0.407,13.428,18.617,38.677,6.133,22.337,5.858,10.465,35.320,,2.554,3.782,2.440,3.514,
1985,2.400,,0.400,15.661,18.071,37.083,5.098,22.173,5.897,11.073,38.012,,2.080,3.754,2.406,3.718,
1986,3.600,,0.391,17.232,17.260,35.866,6.566,24.036,5.943,10.925,40.936,,1.823,4.070,1.650,3.668,
1987,3.600,,0.372,22.243,17.272,34.230,5.587,17.721,5.848,10.439,45.338,,1.551,3.001,1.624,3.505,
1988,3.840,,0.372,22.000,17.285,32.889,5.838,16.290,6.694,11.511,48.855,,1.518,2.627,1.741,3.865,
1989,4.250,,0.366,22.000,18.373,32.617,6.314,15.434,7.787,11.128,54.441,,1.485,2.768,1.832,4.058,
1990,4.250,,0.374,20.000,21.539,33.109,6.066,15.735,9.731,12.935,60.464,,1.427,2.733,2.289,4.310,
1991,4.250,,0.401,18.470,22.114,33.997,7.418,22.471,9.268,13.393,62.762,57.858,1.745,3.235,2.180,4.594,
1992,4.250,,0.406,19.570,22.603,33.437,6.622,20.870,9.116,11.745,66.847,62.775,1.557,3.297,2.144,4.851,
1993,5.351,,0.405,19.740,24.515,32.951,7.598,19.372,9.922,14.001,75.611,73.321,1.419,3.099,1.853,4.570,
1994,5.925,,0.416,18.401,29.312,34.126,8.741,16.311,12.473,15.746,78.434,77.382,1.475,3.012,2.104,4.808,
1995,5.948,,0.432,17.179,31.697,35.476,12.558,15.827,16.653,18.650,82.593,80.304,2.110,3.581,2.799,5.837,
1996,6.005,,0.444,16.252,34.587,37.974,13.152,17.311,16.913,16.898,85.341,83.795,2.189,3.578,2.815,5.714,
1997,6.252,,0.460,15.009,35.871,40.893,20.206,22.287,18.728,20.444,88.691,86.687,3.231,4.909,2.994,6.063,
1998,6.299,,0.479,14.218,38.065,44.212,20.505,21.928,18.460,21.417,93.406,91.562,3.258,5.650,2.965,6.708,
1999,6.300,,0.489,13.135,42.889,47.760,19.073,17.768,21.549,22.523,96.618,94.697,3.026,5.100,3.419,6.815,
2000,6.300,6.300,0.503,12.131,51.371,51.371,23.371,23.288,30.521,30.421,100.000,100.000,3.710,5.398,4.845,6.936,
2001,6.233,6.290,0.514,10.800,55.007,53.512,24.665,18.558,30.590,35.046,105.500,103.200,3.957,6.204,4.908,7.551,
2002,6.249,6.300,0.525,10.400,56.290,57.759,25.340,17.008,28.475,31.368,109.931,107.638,4.055,6.288,4.557,6.969,
2003,6.295,6.300,0.535,10.500,71.169,66.100,26.964,24.720,37.086,31.217,114.117,110.827,4.283,5.975,5.891,8.111,
2004,6.299,6.300,0.562,8.400,83.652,71.355,33.164,25.336,45.692,31.908,118.365,117.062,5.265,6.263,7.254,8.558,
2005,6.300,6.310,0.574,8.000,100.682,75.786,39.472,26.042,66.579,35.036,126.515,125.447,6.266,6.266,10.569,10.569,
2006,6.312,6.312,0.586,6.200,115.951,85.795,43.427,24.876,94.878,51.091,137.037,136.841,6.880,6.066,15.031,13.264,
2007,6.328,6.341,0.588,5.600,136.953,89.874,51.029,29.919,89.472,52.818,147.848,147.268,8.064,6.533,14.139,11.516,
2008,6.289,6.299,0.598,4.600,175.287,92.921,62.283,34.779,123.165,71.210,165.662,168.552,9.903,6.778,19.583,13.744,
2009,6.325,6.374,0.588,5.300,121.281,88.842,46.571,27.374,63.167,56.186,178.218,170.810,7.363,6.282,9.987,8.578,
2010,6.376,6.423,0.592,5.900,131.289,89.029,43.928,22.141,77.230,56.874,197.016,193.706,6.890,5.077,12.113,9.023,
2011,6.409,6.416,0.596,5.000,150.373,86.731,63.735,27.252,101.801,,207.071,203.918,9.944,6.226,15.883,10.204,
2012,6.430,6.432,0.601,4.800,169.767,87.811,61.021,26.446,89.684,,226.254,218.538,9.491,5.981,13.949,9.039,
2013,6.443,6.467,0.606,3.700,178.583,89.230,66.198,28.941,106.168,55.393,238.019,230.792,10.275,6.553,16.479,10.807,
2014,6.443,6.467,0.611,5.000,190.888,91.316,65.479,28.862,107.604,53.967,249.095,239.331,10.163,6.485,16.702,10.952,
