,bah_curr_avg,bah_curr_eop,bah_tot_empl,bah_unemp_rate,bah_ngdp,bah_rgdp,bah_nimp,bah_rimp,bah_nexp,bah_rexp,bah_cpi_avg,bah_cpi_eop,bah_value_imp,bah_vol_imp,bah_value_exp,bah_vol_exp
,"National currency units per U.S. dollar, period average (Units)","National currency units per U.S. dollar, end of period (Units)",Total employment (Millions),Unemployment rate (Units),"Gross domestic product, current prices (Billions)","Gross domestic product, constant prices  (Billions)","Imports of goods and services, current prices  (Billions)","Imports of goods and services, constant prices  (Billions)","Exports of goods and services, current prices  (Billions)","Exports of goods and services, constant prices  (Billions)","Consumer Prices, period average  (Units)","Consumer Prices, end of period  (Units)",Value of total imports of goods and services  (Billions),Volume of total imports of goods and services  (Billions),Value of total exports of goods and services  (Billions),Volume of total exports of goods and services  (Billions)
1980,1.000,1.000,,,1.892,4.065,,,,,36.830,38.714,0.872,1.458,1.040,1.982
1981,1.000,1.000,,,1.960,3.947,,,,,40.898,42.193,0.933,1.473,1.059,1.865
1982,1.000,1.000,,,2.207,4.196,,,,,43.393,44.115,0.984,1.557,1.105,1.834
1983,1.000,1.000,,,2.457,4.481,,,,,45.129,45.653,1.060,1.691,1.221,1.964
1984,1.000,1.000,,,2.624,4.589,,,,,46.919,47.748,1.115,1.763,1.304,2.022
1985,1.000,1.000,,,2.857,4.777,,,,,49.088,50.041,1.319,2.108,1.542,2.347
1986,1.000,1.000,,12.200,3.089,4.901,,,,,51.746,53.453,1.388,2.281,1.629,2.445
1987,1.000,1.000,,11.500,3.401,5.083,,,,,54.848,55.619,1.460,2.206,1.701,2.479
1988,1.000,1.000,,11.000,3.536,5.197,,,,,57.070,58.435,1.474,2.202,1.697,2.382
1989,1.000,1.000,,11.700,3.986,5.317,2.018,3.853,1.898,2.163,60.155,60.981,1.654,2.316,1.800,2.453
1990,1.000,1.000,,12.000,3.801,5.373,2.051,3.867,1.982,2.179,62.939,65.272,1.650,2.168,1.896,2.476
1991,1.000,1.000,,12.300,3.789,5.100,2.015,3.715,1.859,2.046,67.363,69.456,1.548,2.168,1.766,2.119
1992,1.000,1.000,,14.800,3.712,4.928,1.833,3.446,1.796,2.022,71.252,72.042,1.466,1.990,1.731,2.102
1993,1.000,1.000,,13.100,3.667,4.943,1.817,3.418,1.835,2.107,73.206,73.792,1.441,2.015,1.775,2.114
1994,1.000,1.000,0.125,13.292,3.895,5.076,2.005,3.666,1.913,2.091,74.216,74.857,1.640,2.166,1.839,2.142
1995,1.000,1.000,0.127,10.900,4.071,5.235,2.155,1.754,1.942,3.294,75.797,76.150,1.797,2.211,1.894,2.160
1996,1.000,1.000,0.130,11.505,4.301,5.484,2.397,2.011,1.989,3.276,76.874,76.987,1.987,2.407,1.955,2.214
1997,1.000,1.000,0.135,9.779,4.963,6.125,2.394,2.878,2.133,2.715,77.286,77.596,2.396,3.019,1.967,2.226
1998,1.000,1.000,0.144,7.743,5.351,6.415,2.597,3.263,2.163,2.682,78.377,79.041,2.727,3.630,2.028,2.288
1999,1.000,1.000,0.145,7.796,6.021,6.873,2.661,3.360,2.559,2.861,79.328,80.182,2.540,3.272,2.377,2.674
2000,1.000,1.000,0.149,7.000,6.328,7.158,2.964,3.544,2.807,2.999,80.641,81.004,2.928,3.531,2.546,2.836
2001,1.000,1.000,0.153,6.900,6.517,7.346,2.820,3.410,2.589,3.155,82.545,83.072,2.753,3.379,2.227,2.450
2002,1.000,1.000,0.153,9.102,6.958,7.545,2.672,3.316,2.934,3.171,83.782,84.644,2.650,3.222,2.484,2.686
2003,1.000,1.000,0.155,10.835,6.949,7.449,2.759,3.327,2.901,3.193,86.042,86.421,2.698,3.085,2.481,2.584
2004,1.000,1.000,0.158,10.202,7.094,7.515,3.019,3.445,3.161,3.566,87.119,88.021,3.002,3.200,2.722,2.778
2005,1.000,1.000,0.161,10.170,7.706,7.770,3.700,3.937,3.482,3.490,88.958,89.642,3.568,3.568,3.035,3.035
2006,1.000,1.000,0.167,7.628,7.966,7.966,4.417,4.417,3.558,3.558,90.812,91.573,4.338,4.112,3.131,3.058
2007,1.000,1.000,0.171,7.853,8.319,8.081,4.489,4.254,3.888,3.507,93.104,94.280,4.536,4.068,3.814,3.603
2008,1.000,1.000,0.175,8.703,8.247,7.893,4.452,4.004,3.797,3.430,97.443,98.521,4.602,3.753,3.847,3.456
2009,1.000,1.000,0.158,14.246,7.820,7.563,3.728,3.515,3.117,3.321,99.329,100.083,3.731,3.320,3.062,2.755
2010,1.000,1.000,0.159,15.082,7.910,7.680,3.895,3.501,3.223,3.363,100.662,101.602,3.772,3.149,3.212,2.836
2011,1.000,1.000,0.160,15.889,7.931,7.762,4.522,3.762,3.443,3.574,103.887,104.827,4.258,3.252,3.327,2.813
2012,1.000,1.000,0.163,14.690,8.219,7.842,4.988,4.135,3.735,3.834,105.935,105.600,4.923,3.750,3.675,3.068
2013,1.000,1.000,0.164,16.184,8.420,7.894,4.697,3.910,3.532,3.673,106.310,106.470,4.751,3.655,3.436,2.861
2014,1.000,1.000,0.166,16.353,8.649,7.989,4.634,3.740,3.691,3.764,107.823,107.985,4.688,3.616,3.590,2.958
